   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2524    0.025    0.000    0.536    0.000 client.py:953(close)
     2524    0.039    0.000    8.058    0.003 client.py:967(send)
     2524    0.004    0.000    0.004    0.000 codecs.py:260(__init__)
     2524    0.010    0.000    0.014    0.000 codecs.py:309(__init__)
     5048    0.026    0.000    0.036    0.000 codecs.py:319(decode)
     5048    0.005    0.000    0.005    0.000 codecs.py:331(getstate)
     2524    0.011    0.000    0.048    0.000 connection.py:100(_set_socket_options)
     2524    0.006    0.000    0.006    0.000 connection.py:108(allowed_gai_family)
     2524    0.040    0.000    0.115    0.000 connection.py:115(__init__)
     5048    0.009    0.000    0.012    0.000 connection.py:132(host)
     2524    0.002    0.000    0.002    0.000 connection.py:151(host)
     2524    0.030    0.000    7.723    0.003 connection.py:161(_new_conn)
     2524    0.008    0.000    0.017    0.000 connection.py:192(_is_using_tunnel)
     2524    0.012    0.000    0.028    0.000 connection.py:196(_prepare_conn)
     2524    0.018    0.000    7.769    0.003 connection.py:204(connect)
     2524    0.019    0.000    0.238    0.000 connection.py:208(putrequest)
    12620    0.056    0.000    0.333    0.000 connection.py:221(putheader)
    25240    0.022    0.000    0.026    0.000 connection.py:223(<genexpr>)
     2524    0.047    0.000    8.972    0.004 connection.py:231(request)
     5048    0.012    0.000    0.018    0.000 connection.py:237(<genexpr>)
     2524    0.067    0.000    7.693    0.003 connection.py:37(create_connection)
     2524    0.009    0.000    0.039    0.000 connectionpool.py:1095(_normalize_host)
     2524    0.089    0.000    0.752    0.000 connectionpool.py:169(__init__)
     2524    0.036    0.000    0.168    0.000 connectionpool.py:223(_new_conn)
     2524    0.015    0.000    0.244    0.000 connectionpool.py:244(_get_conn)
     2524    0.013    0.000    0.100    0.000 connectionpool.py:283(_put_conn)
     2524    0.002    0.000    0.002    0.000 connectionpool.py:314(_validate_conn)
     5048    0.016    0.000    0.091    0.000 connectionpool.py:324(_get_timeout)
     2524    0.146    0.000  142.019    0.056 connectionpool.py:361(_make_request)
     2524    0.071    0.000    1.070    0.000 connectionpool.py:483(close)
     2524    0.160    0.000  145.033    0.057 connectionpool.py:522(urlopen)
     2524    0.017    0.000    0.057    0.000 connectionpool.py:75(__init__)
     5056    0.038    0.000    0.044    0.000 contextlib.py:102(__init__)
     5056    0.017    0.000    0.032    0.000 contextlib.py:130(__enter__)
     5056    0.026    0.000    0.169    0.000 contextlib.py:139(__exit__)
     5056    0.017    0.000    0.060    0.000 contextlib.py:279(helper)
    15144    0.052    0.000    0.092    0.000 cookiejar.py:1227(vals_sorted_by_key)
    15144    0.036    0.000    0.128    0.000 cookiejar.py:1231(deepvalues)
    10096    0.064    0.000    0.204    0.000 cookiejar.py:1266(__init__)
     2524    0.007    0.000    0.009    0.000 cookiejar.py:1295(_cookies_for_request)
     2524    0.011    0.000    0.016    0.000 cookiejar.py:1302(_cookie_attrs)
     2524    0.042    0.000    0.126    0.000 cookiejar.py:1361(add_cookie_header)
     5048    0.051    0.000    0.127    0.000 cookiejar.py:1604(make_cookies)
     5048    0.046    0.000    0.194    0.000 cookiejar.py:1685(extract_cookies)
