((?:\s|^)[Gg])aol$	\1ail
((?:\s|^)[Jj])ail$	\1aol
((?:\s|^)[Gg])eneralise$	\1eneralize
((?:\s|^)[Gg])eneralize$	\1eneralise
((?:\s|^)[Gg])lycerine$	\1lycerin
((?:\s|^)[Gg])lycerin$	\1lycerine
((?:\s|^)[Gg])rey$	\1ray
((?:\s|^)[Gg])ray$	\1rey
((?:\s|^)[Gg])ynaecology$	\1ynecology
((?:\s|^)[Gg])ynecology$	\1ynaecology

((?:\s|^)[Hh])aemophilia$	\1emophilia
((?:\s|^)[Hh])emophilia$	\1aemophilia
((?:\s|^)[Hh])aematology$	\1ematology
((?:\s|^)[Hh])ematology$	\1aematology
((?:\s|^)[Hh])aem$	\1eme
((?:\s|^)[Hh])eme$	\1aem
((?:\s|^)[Hh])arbour$	\1arbor
((?:\s|^)[Hh])arbor$	\1arbour
((?:\s|^)[Hh])armonise$	\1armonize
((?:\s|^)[Hh])armonize$	\1armonise
((?:\s|^)[Hh])armonisation$	\1armonization
((?:\s|^)[Hh])armonization$	\1armonisation
((?:\s|^)[Hh])omologue$	\1omolog
((?:\s|^)[Hh])omolog$	\1omologue
((?:\s|^)[Hh])onour$	\1onor
((?:\s|^)[Hh])onor$	\1onour
((?:\s|^)[Hh])umour$	\1umor
((?:\s|^)[Hh])umor$	\1umour

((?:\s|^)[Ii])nstalment$	\1nstallment
((?:\s|^)[Ii])nstallment$	\1nstalment
((?:\s|^)[Ii])talicise$	\1talicize
((?:\s|^)[Ii])talicize$	\1talicise

((?:\s|^)[Jj])ewellery$	\1ewelry
((?:\s|^)[Jj])ewelry$	\1ewellery
((?:\s|^)[Jj])udgement$	\1udgment
((?:\s|^)[Jj])udgment$	\1udgement

((?:\s|^)[Kk])erb$	\1urb
((?:\s|^)[Cc])urb$	\1erb
((?:\s|^)[Kk])ilometre$	\1ilometer
((?:\s|^)[Kk])ilometer$	\1ilometre

((?:\s|^)[Ll])abour$	\1abor
((?:\s|^)[Ll])abor$	\1abour
((?:\s|^)[Ll])eapt$	\1eaped
((?:\s|^)[Ll])eaped$	\1eapt
((?:\s|^)[Ll])earnt$	\1earned
((?:\s|^)[Ll])earned$	\1earnt
((?:\s|^)[Ll])icence$	\1icense
((?:\s|^)[Ll])icense$	\1icence
((?:\s|^)[Ll])iquorice$	\1icorice
((?:\s|^)[Ll])icorice$	\1iquorice
((?:\s|^)[Ll])ight$	\1ite
((?:\s|^)[Ll])ite$	\1ight
((?:\s|^)[Ll])itre$	\1iter
((?:\s|^)[Ll])iter$	\1itre
((?:\s|^)[Ll])odgment$	\1odgement
((?:\s|^)[Ll])odgement$	\1odgment

((?:\s|^)[Mm])anoeuvre$	\1aneuver
((?:\s|^)[Mm])aneuver$	\1anoeuvre
((?:\s|^)[Mm])arvellous$	\1arvelous
((?:\s|^)[Mm])arvelous$	\1arvellous
((?:\s|^)[Mm])etre$	\1eter
((?:\s|^)[Mm])eter$	\1etre
((?:\s|^)[Mm])odelling$	\1odeling
((?:\s|^)[Mm])odeling$	\1odelling
((?:\s|^)[Mm])illiard$	\1illion
((?:\s|^)[Bb])illion$	\1illiard
((?:\s|^)[Mm])ould$	\1old
((?:\s|^)[Mm])old$	\1ould
((?:\s|^)[Mm])ollusc$	\1ollusk
((?:\s|^)[Mm])ollusk$	\1ollusc
((?:\s|^)[Mm])oult$	\1olt
((?:\s|^)[Mm])olt$	\1oult
((?:\s|^)[Mm])um$	\1om
((?:\s|^)[Mm])om$	\1um
((?:\s|^)[Mm])onologue$	\1onolog
((?:\s|^)[Mm])onolog$	\1onologue
((?:\s|^)[Mm])oustache$	\1ustache
((?:\s|^)[Mm])ustache$	\1oustache
((?:\s|^)[Mm])oisturiser$	\1oisturizer
((?:\s|^)[Mm])oisturizer$	\1oisturiser

((?:\s|^)[Nn])eighbour$	\1eighbor
((?:\s|^)[Nn])eighbor$	\1eighbour

((?:\s|^)[Oo])enology$	\1nology
((?:\s|^)[Ee])nology$	\1enology
((?:\s|^)[Oo])esophagus$	\1sophagus
((?:\s|^)[Ee])sophagus$	\1esophagus
((?:\s|^)[Oo])estrogen$	\1strogen
((?:\s|^)[Ee])strogen$	\1estrogen
((?:\s|^)[Oo])dour$	\1dor
((?:\s|^)[Oo])dor$	\1dour
((?:\s|^)[Oo])ffence$	\1ffense
((?:\s|^)[Oo])ffense$	\1ffence
((?:\s|^)[Oo])melette$	\1melet
((?:\s|^)[Oo])melet$	\1melette
((?:\s|^)[Oo])rganisation$	\1rganization
((?:\s|^)[Oo])rganization$	\1rganisation
((?:\s|^)[Oo])rthologue$	\1rtholog
((?:\s|^)[Oo])rtholog$	\1rthologue
((?:\s|^)[Oo])rthopaedic$	\1rthopedic
((?:\s|^)[Oo])rthopedic$	\1rthopaedic

((?:\s|^)[Pp])aediatric$	\1ediatric
((?:\s|^)[Pp])ediatric$	\1aediatric
((?:\s|^)[Pp])aedophile$	\1edophile
((?:\s|^)[Pp])edophile$	\1aedophile
((?:\s|^)[Pp])yjamas$	\1ajamas
((?:\s|^)[Pp])ajamas$	\1yjamas
((?:\s|^)[Pp])aralyse$	\1aralyze
((?:\s|^)[Pp])aralyze$	\1aralyse
((?:\s|^)[Pp])arlour$	\1arlor
((?:\s|^)[Pp])arlor$	\1arlour
((?:\s|^)[Pp])edagogue$	\1edagog
((?:\s|^)[Pp])edagog$	\1edagogue
((?:\s|^)[Pp])lough$	\1low
((?:\s|^)[Pp])low$	\1lough
((?:\s|^)[Pp])ractise$	\1ractice
((?:\s|^)[Pp])ractice$	\1ractise
((?:\s|^)[Pp])retence$	\1retense
((?:\s|^)[Pp])retense$	\1retence
((?:\s|^)[Pp])rise$	\1rize
((?:\s|^)[Pp])rize$	\1rise
((?:\s|^)[Pp])rogramme$	\1rogram
((?:\s|^)[Pp])rogram$	\1rogramme

((?:\s|^)[Qq])uarrelled$	\1uarreled
((?:\s|^)[Qq])uarreled$	\1uarrelled
((?:\s|^)[Qq])uarrelling$	\1uarreling
((?:\s|^)[Qq])uarreling$	\1uarrelling

((?:\s|^)[Rr])ealise$	\1ealize
((?:\s|^)[Rr])ealize$	\1ealise
((?:\s|^)[Rr])ealisation$	\1ealization
((?:\s|^)[Rr])ealization$	\1ealisation
((?:\s|^)[Rr])igour$	\1igor
((?:\s|^)[Rr])igor$	\1igour
((?:\s|^)[Rr])outeing$	\1outing
((?:\s|^)[Rr])outing$	\1outeing

((?:\s|^)[Ss])aviour$	\1avior
((?:\s|^)[Ss])avior$	\1aviour
((?:\s|^)[Ss])avoury$	\1avory
((?:\s|^)[Ss])avory$	\1avoury
((?:\s|^)[Ss])ceptic$	\1keptic
((?:\s|^)[Ss])keptic$	\1ceptic
((?:\s|^)[Ss])ignalling$	\1ignaling
((?:\s|^)[Ss])ignaling$	\1ignalling
((?:\s|^)[Ss])kilful$	\1killful
((?:\s|^)[Ss])killful$	\1kilful
((?:\s|^)[Ss])peciality$	\1pecialty
((?:\s|^)[Ss])pecialty$	\1peciality
((?:\s|^)[Ss])pelt$	\1pelled
((?:\s|^)[Ss])pelled$	\1pelt
((?:\s|^)[Ss])poilt$	\1poiled
((?:\s|^)[Ss])poiled$	\1poilt
((?:\s|^)[Ss])torey$	\1tory
((?:\s|^)[Ss])tory$	\1torey
((?:\s|^)[Ss])ulphur$	\1ulfur
((?:\s|^)[Ss])ulfur$	\1ulphur

((?:\s|^)[Tt])heatre$	\1heater
((?:\s|^)[Tt])heater$	\1heatre
((?:\s|^)[Tt])yre$	\1ire
((?:\s|^)[Tt])ire$	\1yre
((?:\s|^)[Tt])ranquillity$	\1ranquility
