ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
91126,0.070,0.000,0.070,0.000,connection.py:151(host)
91126,0.959,0.000,231.128,0.003,connection.py:161(_new_conn)
91126,0.229,0.000,0.335,0.000,connection.py:192(_is_using_tunnel)
91126,0.354,0.000,0.689,0.000,connection.py:196(_prepare_conn)
91126,0.599,0.000,232.416,0.003,connection.py:204(connect)
91126,0.594,0.000,7.526,0.000,connection.py:208(putrequest)
455630,1.682,0.000,10.700,0.000,connection.py:221(putheader)
911260,0.728,0.000,0.869,0.000,connection.py:223(<genexpr>)
91126,1.408,0.000,269.727,0.003,connection.py:231(request)
182252,0.387,0.000,0.567,0.000,connection.py:237(<genexpr>)
91126,2.296,0.000,230.169,0.003,connection.py:37(create_connection)
91126,0.287,0.000,1.241,0.000,connectionpool.py:1095(_normalize_host)
91126,2.829,0.000,23.422,0.000,connectionpool.py:169(__init__)
91126,1.006,0.000,4.997,0.000,connectionpool.py:223(_new_conn)
91126,0.462,0.000,7.347,0.000,connectionpool.py:244(_get_conn)
91126,0.401,0.000,3.413,0.000,connectionpool.py:283(_put_conn)
91126,0.063,0.000,0.063,0.000,connectionpool.py:314(_validate_conn)
182252,0.496,0.000,2.833,0.000,connectionpool.py:324(_get_timeout)
91126,4.491,0.000,1536.290,0.017,connectionpool.py:361(_make_request)
91126,2.210,0.000,34.058,0.000,connectionpool.py:483(close)
91126,5.088,0.000,1603.461,0.018,connectionpool.py:522(urlopen)
91126,0.484,0.000,1.765,0.000,connectionpool.py:75(__init__)
182465,0.857,0.000,1.033,0.000,contextlib.py:102(__init__)
182465,0.483,0.000,0.915,0.000,contextlib.py:130(__enter__)
182465,0.832,0.000,5.624,0.000,contextlib.py:139(__exit__)
182465,0.529,0.000,1.562,0.000,contextlib.py:279(helper)
546756,1.688,0.000,3.018,0.000,cookiejar.py:1227(vals_sorted_by_key)
546756,1.154,0.000,4.171,0.000,cookiejar.py:1231(deepvalues)
364504,2.156,0.000,6.446,0.000,cookiejar.py:1266(__init__)
91126,0.222,0.000,0.272,0.000,cookiejar.py:1295(_cookies_for_request)
91126,0.382,0.000,0.532,0.000,cookiejar.py:1302(_cookie_attrs)
91126,1.347,0.000,4.050,0.000,cookiejar.py:1361(add_cookie_header)
182252,1.504,0.000,3.705,0.000,cookiejar.py:1604(make_cookies)
182252,1.469,0.000,5.822,0.000,cookiejar.py:1685(extract_cookies)
91126,0.568,0.000,1.488,0.000,cookiejar.py:1739(clear_expired_cookies)
546756,0.614,0.000,0.614,0.000,cookiejar.py:1758(__iter__)
273378,0.253,0.000,0.253,0.000,cookiejar.py:44(_debug)
364504,1.458,0.000,1.458,0.000,cookiejar.py:885(__init__)
182252,0.229,0.000,0.229,0.000,cookies.py:110(__init__)
364504,0.190,0.000,0.190,0.000,cookies.py:117(info)
182252,1.323,0.000,14.876,0.000,cookies.py:124(extract_cookies_to_jar)
91126,0.655,0.000,11.140,0.000,cookies.py:140(get_cookie_header)
273378,1.319,0.000,13.669,0.000,cookies.py:35(__init__)
182252,0.551,0.000,1.565,0.000,cookies.py:358(update)
273378,1.875,0.000,11.069,0.000,cookies.py:521(cookiejar_from_dict)
273378,0.525,0.000,3.176,0.000,cookies.py:534(<listcomp>)
182252,0.747,0.000,2.643,0.000,cookies.py:542(merge_cookies)
91126,0.059,0.000,0.059,0.000,cookies.py:87(get_new_headers)
21114,0.007,0.000,0.007,0.000,cpp_common.pxd:326(conv_sequence)
10557,0.025,0.000,0.032,0.000,cpp_common.pxd:370(preprocess_strings)
91126,0.934,0.000,5.949,0.000,decoder.py:332(decode)
91126,4.250,0.000,4.250,0.000,decoder.py:343(raw_decode)
209852,0.722,0.000,1.229,0.000,enum.py:359(__call__)
209852,0.507,0.000,0.507,0.000,enum.py:678(__new__)
13800,0.070,0.000,0.164,0.000,enum.py:986(__and__)
91126,1.100,0.000,2.833,0.000,feedparser.py:101(push)
182252,0.401,0.000,0.645,0.000,feedparser.py:122(pushlines)
182252,0.093,0.000,0.093,0.000,feedparser.py:125(__iter__)
546756,1.042,0.000,2.381,0.000,feedparser.py:128(__next__)
91126,1.289,0.000,2.507,0.000,feedparser.py:139(__init__)
91126,0.433,0.000,23.136,0.000,feedparser.py:173(feed)
182252,0.885,0.000,21.669,0.000,feedparser.py:178(_call_parse)
91126,0.574,0.000,6.073,0.000,feedparser.py:184(close)
91126,0.510,0.000,0.760,0.000,feedparser.py:197(_new_message)
91126,0.250,0.000,0.339,0.000,feedparser.py:210(_pop_message)
182252,3.506,0.000,20.784,0.000,feedparser.py:218(_parsegen)
91126,2.430,0.000,5.681,0.000,feedparser.py:471(_parse_headers)
91126,0.850,0.000,0.850,0.000,feedparser.py:53(__init__)
91126,0.642,0.000,1.261,0.000,feedparser.py:70(close)
546756,1.180,0.000,1.339,0.000,feedparser.py:78(readline)
182252,0.776,0.000,27.775,0.000,genericpath.py:16(exists)
2182,0.009,0.000,0.020,0.000,heapq.py:521(nlargest)
273378,0.752,0.000,1.102,0.000,hooks.py:15(default_hooks)
273378,0.350,0.000,0.350,0.000,hooks.py:16(<dictcomp>)
91126,0.237,0.000,0.317,0.000,hooks.py:22(dispatch_hook)
182252,1.360,0.000,1.919,0.000,idna.py:147(encode)
91126,0.089,0.000,0.089,0.000,language_tag.py:21(__str__)
4600,0.007,0.000,0.034,0.000,locale.py:652(getpreferredencoding)
1365825,4.143,0.000,11.065,0.000,match.py:109(__setattr__)
